Date : 2019-08-02 15:39:23
Directory : c:\Users\s1700530\Documents\Junction\2019-website
Total : 262 files,  41377 codes, 754 comments, 1608 blanks, all 43739 lines

Languages
+------------------+------------+------------+------------+------------+------------+
| language         | files      | code       | comment    | blank      | total      |
| frontend\app\src\components\Markdown\index.js                   | JavaScript React |         98 |          0 |         11 |        109 |
| frontend\app\src\components\Markdown\style.scss                 | SCSS             |         35 |          0 |          8 |         43 |
| frontend\app\src\components\NewsLetterForm\index.js             | JavaScript React |        103 |          0 |         15 |        118 |
| frontend\app\src\components\NewsLetterForm\style.scss           | SCSS             |          0 |          0 |          1 |          1 |
| frontend\app\src\components\PartnersGrid\index.js               | JavaScript React |         58 |          0 |         10 |         68 |
| frontend\app\src\components\PartnersGrid\style.scss             | SCSS             |         31 |          0 |          4 |         35 |
| frontend\app\src\components\ScrollToTop\index.js                | JavaScript React |         13 |          0 |          4 |         17 |
| frontend\app\src\components\SingleColumnSection\index.js        | JavaScript React |         22 |          0 |          4 |         26 |
| frontend\app\src\components\SingleColumnSection\style.scss      | SCSS             |         37 |          0 |          2 |         39 |
| frontend\app\src\components\SocialMediaIcons\SocialmediaIcon.js | JavaScript React |         22 |          0 |          4 |         26 |
| frontend\app\src\components\SocialMediaIcons\index.js           | JavaScript React |         24 |          0 |          7 |         31 |
| frontend\app\src\components\SocialMediaIcons\style.scss         | SCSS             |         22 |          0 |          3 |         25 |
| frontend\app\src\components\StatBlocks\index.js                 | JavaScript React |         21 |          0 |          6 |         27 |
| frontend\app\src\components\StatBlocks\style.scss               | SCSS             |         29 |          0 |          3 |         32 |
| frontend\app\src\components\StylishContainer\index.js           | JavaScript React |         26 |          0 |          3 |         29 |
| frontend\app\src\components\StylishContainer\style.scss         | SCSS             |         40 |          0 |          2 |         42 |
| frontend\app\src\components\TeamMemberGrid\index.js             | JavaScript React |         86 |          0 |         11 |         97 |
| frontend\app\src\components\TeamMemberGrid\style.scss           | SCSS             |        101 |          0 |         18 |        119 |
| frontend\app\src\components\TracksGrid\index.js                 | JavaScript React |         50 |          0 |          8 |         58 |
| frontend\app\src\components\TracksGrid\style.scss               | SCSS             |         18 |          0 |          2 |         20 |
| frontend\app\src\components\Video\index.js                      | JavaScript React |         60 |          0 |          9 |         69 |
| frontend\app\src\components\Video\style.scss                    | SCSS             |         10 |          0 |          2 |         12 |
| frontend\app\src\components\inputs\DropDown\index.js            | JavaScript React |         48 |          0 |          6 |         54 |
| frontend\app\src\components\inputs\DropDown\style.scss          | SCSS             |         30 |          0 |          6 |         36 |
| frontend\app\src\components\inputs\FormRow\index.js             | JavaScript React |         24 |          0 |          4 |         28 |
| frontend\app\src\components\inputs\FormRow\style.scss           | SCSS             |         13 |          0 |          4 |         17 |
| frontend\app\src\components\inputs\Form\index.js                | JavaScript React |         62 |          0 |         11 |         73 |
| frontend\app\src\components\inputs\Form\style.scss              | SCSS             |         63 |          0 |         11 |         74 |
| frontend\app\src\components\inputs\InputError\index.js          | JavaScript React |          8 |          0 |          2 |         10 |
| frontend\app\src\components\inputs\InputError\style.scss        | SCSS             |          8 |          0 |          2 |         10 |
| frontend\app\src\components\inputs\InputLabel\index.js          | JavaScript React |         12 |          0 |          5 |         17 |
| frontend\app\src\components\inputs\InputLabel\style.scss        | SCSS             |         21 |          0 |          5 |         26 |
| frontend\app\src\components\inputs\RadioButtons\index.js        | JavaScript React |         32 |          0 |          5 |         37 |
| frontend\app\src\components\inputs\RadioButtons\style.scss      | SCSS             |         44 |          0 |         10 |         54 |
| frontend\app\src\components\inputs\SubmitButton\index.js        | JavaScript React |         12 |          0 |          3 |         15 |
| frontend\app\src\components\inputs\SubmitButton\style.scss      | SCSS             |         30 |          0 |          6 |         36 |
| frontend\app\src\components\inputs\TextArea\index.js            | JavaScript React |         18 |          0 |          6 |         24 |
| frontend\app\src\components\inputs\TextArea\style.scss          | SCSS             |         42 |          0 |          6 |         48 |
| frontend\app\src\components\inputs\TextInput\index.js           | JavaScript React |         17 |          0 |          5 |         22 |
| frontend\app\src\components\inputs\TextInput\style.scss         | SCSS             |         27 |          0 |          5 |         32 |
| frontend\app\src\config.js                                      | JavaScript React |         13 |          6 |          4 |         23 |
| frontend\app\src\data\countries.json                            | JSON             |        241 |          0 |          1 |        242 |
| frontend\app\src\fontello\css\animation.css                     | CSS              |         77 |          3 |          6 |         86 |
| frontend\app\src\fontello\css\fontello-codes.css                | CSS              |          2 |          0 |          1 |          3 |
| frontend\app\src\fontello\css\fontello-embedded.css             | CSS              |         30 |         19 |          7 |         56 |
| frontend\app\src\fontello\css\fontello-ie7-codes.css            | CSS              |          2 |          0 |          1 |          3 |
| frontend\app\src\fontello\css\fontello-ie7.css                  | CSS              |          8 |          3 |          3 |         14 |
| frontend\app\src\fontello\css\fontello.css                      | CSS              |         30 |         20 |          9 |         59 |
| frontend\app\src\fontello\demo.html                             | HTML             |        296 |          0 |         11 |        307 |
| frontend\app\src\fontello\font\fontello.svg                     | XML              |         13 |          0 |          1 |         14 |
| frontend\app\src\hooks\formhooks.js                             | JavaScript React |         26 |          0 |          4 |         30 |
| frontend\app\src\index.js                                       | JavaScript React |         44 |          4 |         10 |         58 |
| frontend\app\src\redux\configureStore.js                        | JavaScript React |         28 |          2 |          6 |         36 |
| frontend\app\src\redux\dynamiccontent\actionTypes.js            | JavaScript React |          3 |          0 |          2 |          5 |
| frontend\app\src\redux\dynamiccontent\actions.js                | JavaScript React |         23 |          0 |          6 |         29 |
| frontend\app\src\redux\dynamiccontent\reducer.js                | JavaScript React |         50 |          0 |          4 |         54 |
| frontend\app\src\redux\dynamiccontent\selectors.js              | JavaScript React |         93 |          2 |         15 |        110 |
| frontend\app\src\redux\rootReducer.js                           | JavaScript React |         10 |          1 |          3 |         14 |
| frontend\app\src\redux\socialmedias\actionTypes.js              | JavaScript React |          1 |          0 |          1 |          2 |
| frontend\app\src\redux\socialmedias\actions.js                  | JavaScript React |         15 |          3 |          3 |         21 |
| frontend\app\src\redux\socialmedias\reducer.js                  | JavaScript React |         30 |          0 |          3 |         33 |
| frontend\app\src\redux\socialmedias\selectors.js                | JavaScript React |         13 |          4 |          5 |         22 |
| frontend\app\src\redux\staticcontent\actionTypes.js             | JavaScript React |          2 |          0 |          1 |          3 |
| frontend\app\src\redux\staticcontent\actions.js                 | JavaScript React |         21 |          0 |          4 |         25 |
| frontend\app\src\redux\staticcontent\helpers.js                 | JavaScript React |         16 |          0 |          2 |         18 |
| frontend\app\src\redux\staticcontent\reducer.js                 | JavaScript React |         57 |          0 |          4 |         61 |
| frontend\app\src\redux\staticcontent\selectors.js               | JavaScript React |         25 |          0 |          5 |         30 |
| frontend\app\src\serviceWorker.js                               | JavaScript React |         92 |         31 |         13 |        136 |
| frontend\app\src\services\axios.js                              | JavaScript React |         11 |          7 |          4 |         22 |
| frontend\app\src\services\contactrequests.js                    | JavaScript React |          8 |          0 |          4 |         12 |
| frontend\app\src\services\graphql\client.js                     | JavaScript React |        125 |          3 |          5 |        133 |
| frontend\app\src\services\newsletter.js                         | JavaScript React |          8 |          0 |          4 |         12 |
| frontend\app\src\services\socialmedias.js                       | JavaScript React |         14 |          0 |          6 |         20 |
| frontend\app\src\styles\_buttons.scss                           | SCSS             |         13 |          0 |          2 |         15 |
| frontend\app\src\styles\_colors.scss                            | SCSS             |         34 |          0 |          7 |         41 |
| frontend\app\src\styles\_fonts.scss                             | SCSS             |         50 |          0 |          8 |         58 |
| frontend\app\src\styles\_sizes.scss                             | SCSS             |         38 |          0 |          7 |         45 |
| frontend\app\src\styles\base.scss                               | SCSS             |         56 |          1 |         12 |         69 |
| frontend\app\src\styles\variables.scss                          | SCSS             |          4 |          0 |          1 |          5 |
| frontend\app\src\utils\logger.js                                | JavaScript React |          7 |          0 |          2 |          9 |
| frontend\app\src\utils\misc.js                                  | JavaScript React |         59 |          0 |          6 |         65 |
| frontend\app\src\utils\regex.js                                 | JavaScript React |          8 |          2 |          3 |         13 |
| frontend\package-lock.json                                      | JSON             |      1,419 |          0 |          1 |      1,420 |
| frontend\package.json                                           | JSON             |         24 |          0 |          1 |         25 |
| frontend\server.js                                              | JavaScript React |         15 |          4 |          5 |         24 |
| package-lock.json                                               | JSON             |        508 |          0 |          1 |        509 |
| package.json                                                    | JSON             |         26 |          0 |          1 |         27 |
| Total                                                           |                  |     41,377 |        754 |      1,608 |     43,739 |
+-----------------------------------------------------------------+------------------+------------+------------+------------+------------+
